A4L,2021-07-19,17.4,6305759,17999999
ALB,2021-07-19,33.8,1278803,4273126
ALCM,2021-07-19,9.2,1776504,17952959
ATER,2021-07-19,2.48,52483840,85110091
BREF,2021-07-19,2.15,25764018,34641925
CCB,2021-07-19,1,21181101,127129970
CHIM,2021-07-19,0.848,53080895,239646267
DUH,2021-07-19,7.4,12417152,18736099
EAC,2021-07-19,1.08,26308349,36629925
ELHM,2021-07-19,0.835,6618810,25108410
EMKA,2021-07-19,3.26,4898869,21699726
EUBG,2021-07-19,2.5,57535412,260500000
FIB,2021-07-19,1.75,16500000,149084800
FZLS,2021-07-19,19.2,213250,515000
GAMZ,2021-07-19,3.8,3055713,5347798
GR6,2021-07-19,1.48,43788135,243608710
HCEN,2021-07-19,32.2,438192,735910
HES,2021-07-19,5.8,3673622,18193752
HIKA,2021-07-19,2.9,8981736,15864544
HNVK,2021-07-19,18.4,1807872,5610437
HRZ,2021-07-19,2.66,21599000,56010597
HSI,2021-07-19,2.6,16532960,36852997
HSOF,2021-07-19,3.6,6666906,9940391
HVAR,2021-07-19,40.2,1982101,6485897
IDH,2021-07-19,2.24,3392342,9980925
IHB,2021-07-19,1.27,29025755,107400643
KBG,2021-07-19,8.25,2350691,13168614
LAV,2021-07-19,3.8,1211957,9919410
MONB,2021-07-19,6,6788804,39000000
MSH,2021-07-19,7.55,9071209,39445200
NEOH,2021-07-19,24,629151,2654358
ODES,2021-07-19,115,113619,586642
PET,2021-07-19,0.23,2438860,27312403
SFA,2021-07-19,3.48,46695735,134797899
SFT,2021-07-19,5.1,8113764,34276050
SGH,2021-07-19,0.494,31431825,59360518
SKEH,2021-07-19,22.4,843144,2309561
SNRG,2021-07-19,0.645,7915991,18358849
SPH,2021-07-19,7.25,12372374,21000000
T57,2021-07-19,3.82,5745245,24200000
TBS,2021-07-19,13.6,2405223,12500000
TOPL,2021-07-19,2.2,512539,5416829
TXIM,2021-07-19,3,11136790,27995036
YGAG,2021-07-19,5,203739,1003904
ZHBG,2021-07-19,0.147,39151614,195660287
ZLP,2021-07-19,2.46,481434,6493577
A4L,2021-07-20,17.8,6305759,17999999
ALB,2021-07-20,33,1278803,4273126
ALCM,2021-07-20,9.2,1776504,17952959
ATER,2021-07-20,2.48,52483840,85110091
BREF,2021-07-20,2.15,25764018,34641925
CCB,2021-07-20,1,21181101,127129970
CHIM,2021-07-20,0.85,53080895,239646267
DUH,2021-07-20,7.24,12417152,18736099
EAC,2021-07-20,1.07,26308349,36629925
ELHM,2021-07-20,0.835,6618810,25108410
EMKA,2021-07-20,3.26,4898869,21699726
EUBG,2021-07-20,2.56,59882408,260500000
FIB,2021-07-20,1.72,16500000,149084800
FZLS,2021-07-20,21.8,213250,515000
GAMZ,2021-07-20,3.8,3055713,5347798
GR6,2021-07-20,1.46,43788135,243608710
HCEN,2021-07-20,33,438192,735910
HES,2021-07-20,5.8,3673622,18193752
HIKA,2021-07-20,2.76,8981736,15864544
HNVK,2021-07-20,18.4,1792312,5610437
HRZ,2021-07-20,2.66,21698400,56010597
HSI,2021-07-20,2.6,16532960,36852997
HSOF,2021-07-20,3.6,6666906,9940391
HVAR,2021-07-20,40.2,1982101,6485897
IDH,2021-07-20,2.24,3742342,9980925
IHB,2021-07-20,1.27,29025755,107400643
KBG,2021-07-20,8.25,2350691,13168614
LAV,2021-07-20,3.8,1211957,9919410
MONB,2021-07-20,6,6788804,39000000
MSH,2021-07-20,7.6,9071209,39445200
NEOH,2021-07-20,23.6,629151,2654358
ODES,2021-07-20,115,113619,586642
PET,2021-07-20,0.23,2438860,27312403
SFA,2021-07-20,3.48,46695735,134797899
SFT,2021-07-20,5.1,8113764,34276050
SGH,2021-07-20,0.494,31431825,59360518
SKEH,2021-07-20,22.4,843144,2309561
SNRG,2021-07-20,0.645,7915991,18358849
SPH,2021-07-20,7.25,12372374,21000000
T57,2021-07-20,3.82,5745245,24200000
TBS,2021-07-20,13.5,2405223,12500000
TOPL,2021-07-20,2.2,512539,5416829
TXIM,2021-07-20,3,11136790,27995036
YGAG,2021-07-20,5,203739,1003904
ZHBG,2021-07-20,0.147,39151614,195660287
ZLP,2021-07-20,2.46,481434,6493577
A4L,2021-07-21,18,6305759,17999999
ALB,2021-07-21,32.4,1278803,4273126
ALCM,2021-07-21,9.2,1776504,17952959
ATER,2021-07-21,2.45,52483840,85110091
BREF,2021-07-21,2.18,25764018,34641925
CCB,2021-07-21,0.995,21181101,127129970
CHIM,2021-07-21,0.862,53080895,239646267
DUH,2021-07-21,7.24,12417152,18736099
EAC,2021-07-21,1.07,26308349,36629925
ELHM,2021-07-21,0.835,6618810,25108410
EMKA,2021-07-21,3.26,4898869,21699726
EUBG,2021-07-21,2.5,59882408,260500000
FIB,2021-07-21,1.73,16500000,149084800
FZLS,2021-07-21,21,213250,515000
GAMZ,2021-07-21,3.8,3055713,5347798
GR6,2021-07-21,1.48,43788135,243608710
HCEN,2021-07-21,33,438192,735910
HES,2021-07-21,5.8,3673622,18193752
HIKA,2021-07-21,2.76,8981736,15864544
HNVK,2021-07-21,18.4,1792312,5610437
HRZ,2021-07-21,2.66,21698400,56010597
HSI,2021-07-21,2.6,16532960,36852997
HSOF,2021-07-21,3.6,6666906,9940391
HVAR,2021-07-21,40.4,1982101,6485897
IDH,2021-07-21,2.34,3742342,9980925
IHB,2021-07-21,1.27,29025755,107400643
KBG,2021-07-21,8.25,2350691,13168614
LAV,2021-07-21,3.8,1211957,9919410
MONB,2021-07-21,6,6788804,39000000
MSH,2021-07-21,7.5,9071209,39445200
NEOH,2021-07-21,24.8,629151,2654358
ODES,2021-07-21,115,113619,586642
PET,2021-07-21,0.23,2438860,27312403
SFA,2021-07-21,3.48,46695735,134797899
SFT,2021-07-21,5.05,8113764,34276050
SGH,2021-07-21,0.498,31431825,59360518
SKEH,2021-07-21,22.4,843144,2309561
SNRG,2021-07-21,0.645,7915991,18358849
SPH,2021-07-21,7.25,12372374,21000000
T57,2021-07-21,3.82,5745245,24200000
TBS,2021-07-21,13.6,2405223,12500000
TOPL,2021-07-21,2.2,512539,5416829
TXIM,2021-07-21,3,11136790,27995036
YGAG,2021-07-21,5,203739,1003904
ZHBG,2021-07-21,0.137,39151614,195660287
ZLP,2021-07-21,2.46,481434,6493577
A4L,2021-07-22,17.5,6305759,17999999
ALB,2021-07-22,32.4,1278803,4273126
ALCM,2021-07-22,9.2,1776504,17952959
ATER,2021-07-22,2.45,52483840,85110091
BREF,2021-07-22,2.14,25764018,34641925
CCB,2021-07-22,0.995,21181101,127129970
CHIM,2021-07-22,0.85,53080895,239646267
DUH,2021-07-22,7.24,12416457,18736099
EAC,2021-07-22,1.06,26308349,36629925
ELHM,2021-07-22,0.835,6618810,25108410
EMKA,2021-07-22,3.26,4898869,21699726
EUBG,2021-07-22,2.54,61642408,260500000
FIB,2021-07-22,1.7,16500000,149084800
FZLS,2021-07-22,21,213250,515000
GAMZ,2021-07-22,3.8,3055713,5347798
GR6,2021-07-22,1.43,43788135,243608710
HCEN,2021-07-22,33,438192,735910
HES,2021-07-22,5.8,3673622,18193752
HIKA,2021-07-22,2.96,8981736,15864544
HNVK,2021-07-22,18.4,1808162,5610437
HRZ,2021-07-22,2.66,21698400,56010597
HSI,2021-07-22,2.6,16532960,36852997
HSOF,2021-07-22,3.6,6666906,9940391
HVAR,2021-07-22,40.2,1982101,6485897
IDH,2021-07-22,2.34,3742342,9980925
IHB,2021-07-22,1.28,29025755,107400643
KBG,2021-07-22,8.25,2350691,13168614
LAV,2021-07-22,3.8,1211957,9919410
MONB,2021-07-22,5.7,6788804,39000000
MSH,2021-07-22,7.5,9071209,39445200
NEOH,2021-07-22,24.2,629151,2654358
ODES,2021-07-22,115,113619,586642
PET,2021-07-22,0.23,2438860,27312403
SFA,2021-07-22,3.48,46695735,134797899
SFT,2021-07-22,5.1,8113764,34276050
SGH,2021-07-22,0.496,31431825,59360518
SKEH,2021-07-22,22.4,843144,2309561
SNRG,2021-07-22,0.645,7915991,18358849
SPH,2021-07-22,7.25,12372374,21000000
T57,2021-07-22,3.74,5745245,24200000
TBS,2021-07-22,13.7,2405223,12500000
TOPL,2021-07-22,2.2,512539,5416829
TXIM,2021-07-22,3,11136790,27995036
YGAG,2021-07-22,5,203739,1003904
ZHBG,2021-07-22,0.137,39151614,195660287
ZLP,2021-07-22,2.46,481434,6493577
A4L,2021-08-02,17.6,6305759,17999999
ALB,2021-08-02,36,1278803,4273126
ALCM,2021-08-02,9.25,1776504,17952959
ATER,2021-08-02,2.67,52483840,85110091
BREF,2021-08-02,2.3,25764018,34641925
CCB,2021-08-02,1.05,21181101,127129970
CHIM,2021-08-02,0.85,53080895,239646267
DUH,2021-08-02,6.9,12418785,18736099
EAC,2021-08-02,1.08,26308349,36629925
ELHM,2021-08-02,0.79,6618810,25108410
EMKA,2021-08-02,3.6,4898869,21699726
EUBG,2021-08-02,2.48,85236209,260500000
FIB,2021-08-02,1.7,16500000,149084800
FZLS,2021-08-02,19,213250,515000
GAMZ,2021-08-02,3.8,3099451,5347798
GR6,2021-08-02,1.46,43788135,243608710
HCEN,2021-08-02,34.2,438192,735910
HES,2021-08-02,5.8,3673622,18193752
HIKA,2021-08-02,3.02,8981736,15864544
HNVK,2021-08-02,18.4,1808162,5610437
HRZ,2021-08-02,2.66,22698400,56010597
HSI,2021-08-02,2.6,16532960,36852997
HSOF,2021-08-02,3.44,6666906,9940391
HVAR,2021-08-02,40.2,1972028,6485897
IDH,2021-08-02,2.36,3415242,9980925
IHB,2021-08-02,1.55,29025755,107400643
KBG,2021-08-02,8.3,2350691,13168614
LAV,2021-08-02,3.8,1211967,9919410
MONB,2021-08-02,6.2,6788804,39000000
MSH,2021-08-02,7.65,9071209,39445200
NEOH,2021-08-02,27.6,629151,2654358
ODES,2021-08-02,103,113619,586642
PET,2021-08-02,0.23,2438860,27312403
SFA,2021-08-02,3.52,46695735,134797899
SFT,2021-08-02,5.2,8113764,34276050
SGH,2021-08-02,0.51,31431825,59360518
SKEH,2021-08-02,22.4,843144,2309561
SNRG,2021-08-02,0.75,7915991,18358849
SPH,2021-08-02,7.45,12372374,21000000
T57,2021-08-02,3.46,5745245,24200000
TBS,2021-08-02,13.6,2402166,12500000
TOPL,2021-08-02,2.1,512539,5416829
TXIM,2021-08-02,3,11136790,27995036
YGAG,2021-08-02,5.5,203739,1003904
ZHBG,2021-08-02,0.136,39151614,195660287
ZLP,2021-08-02,2.46,481434,6493577
A4L,2021-08-03,17.9,6305759,17999999
ALB,2021-08-03,35.8,1278803,4273126
ALCM,2021-08-03,9,1776504,17952959
ATER,2021-08-03,2.71,52483840,85110091
BREF,2021-08-03,2.33,25764018,34641925
CCB,2021-08-03,1.05,21181101,127129970
CHIM,2021-08-03,0.856,53080895,239646267
DUH,2021-08-03,6.8,12418785,18736099
EAC,2021-08-03,1.08,26308349,36629925
ELHM,2021-08-03,0.79,6618810,25108410
EMKA,2021-08-03,3.6,4898869,21699726
EUBG,2021-08-03,2.52,85236209,260500000
FIB,2021-08-03,1.73,16500000,149084800
FZLS,2021-08-03,19,213250,515000
GAMZ,2021-08-03,3.8,3099451,5347798
GR6,2021-08-03,1.47,43788135,243608710
HCEN,2021-08-03,34.2,438192,735910
HES,2021-08-03,5.8,3673622,18193752
HIKA,2021-08-03,3.02,8981736,15864544
HNVK,2021-08-03,18.4,1808162,5610437
HRZ,2021-08-03,2.66,22698400,56010597
HSI,2021-08-03,2.6,16532960,36852997
HSOF,2021-08-03,3.44,6666906,9940391
HVAR,2021-08-03,40.2,1972228,6485897
IDH,2021-08-03,2.36,3415242,9980925
IHB,2021-08-03,1.56,29025755,107400643
KBG,2021-08-03,8.3,2350691,13168614
LAV,2021-08-03,3.8,1211967,9919410
MONB,2021-08-03,6.2,6788804,39000000
MSH,2021-08-03,7.35,9071209,39445200
NEOH,2021-08-03,27.4,629151,2654358
ODES,2021-08-03,103,113619,586642
PET,2021-08-03,0.23,2438860,27312403
SFA,2021-08-03,3.5,46695735,134797899
SFT,2021-08-03,5.25,8113764,34276050
SGH,2021-08-03,0.51,31431825,59360518
SKEH,2021-08-03,22.4,843144,2309561
SNRG,2021-08-03,0.75,7915991,18358849
SPH,2021-08-03,7.45,12372374,21000000
T57,2021-08-03,3.46,5745245,24200000
TBS,2021-08-03,13.4,2402166,12500000
TOPL,2021-08-03,2.1,512539,5416829
TXIM,2021-08-03,3,11136790,27995036
YGAG,2021-08-03,5.5,203739,1003904
ZHBG,2021-08-03,0.136,39151614,195660287
ZLP,2021-08-03,1.43,481434,6493577
A4L,2021-08-04,17.2,6305759,17999999
ALB,2021-08-04,34.2,1278803,4273126
ALCM,2021-08-04,8.75,1776504,17952959
ATER,2021-08-04,2.7,52483840,85110091
BREF,2021-08-04,2.37,25764018,34641925
CCB,2021-08-04,1.08,21181101,127129970
CHIM,2021-08-04,0.896,53080895,239646267
DUH,2021-08-04,6.8,12418785,18736099
EAC,2021-08-04,1.08,26308349,36629925
ELHM,2021-08-04,0.79,6618810,25108410
EMKA,2021-08-04,3.6,4898869,21699726
EUBG,2021-08-04,2.52,85236209,260500000
FIB,2021-08-04,1.765,16500000,149084800
FZLS,2021-08-04,19,213250,515000
GAMZ,2021-08-04,3.8,3099451,5347798
GR6,2021-08-04,1.46,43788135,243608710
HCEN,2021-08-04,34.2,438192,735910
HES,2021-08-04,5.75,3673622,18193752
HIKA,2021-08-04,3.02,8981736,15864544
HNVK,2021-08-04,18.4,1808162,5610437
HRZ,2021-08-04,2.66,22698400,56010597
HSI,2021-08-04,2.6,16532960,36852997
HSOF,2021-08-04,3.44,6666906,9940391
HVAR,2021-08-04,40,1972228,6485897
IDH,2021-08-04,2.36,3415242,9980925
IHB,2021-08-04,1.56,29025755,107400643
KBG,2021-08-04,8.3,2350691,13168614
LAV,2021-08-04,3.8,1211967,9919410
MONB,2021-08-04,6,6788804,39000000
MSH,2021-08-04,7.35,9071209,39445200
NEOH,2021-08-04,27.8,629151,2654358
ODES,2021-08-04,102,113619,586642
PET,2021-08-04,0.102,2438860,27312403
SFA,2021-08-04,3.48,46695735,134797899
SFT,2021-08-04,5.15,8113764,34276050
SGH,2021-08-04,0.51,31431825,59360518
SKEH,2021-08-04,22.4,841444,2309561
SNRG,2021-08-04,0.75,7915991,18358849
SPH,2021-08-04,7.1,12372374,21000000
T57,2021-08-04,3.46,5745245,24200000
TBS,2021-08-04,13.5,2402166,12500000
TOPL,2021-08-04,2.1,512539,5416829
TXIM,2021-08-04,3,11136790,27995036
YGAG,2021-08-04,5.5,203739,1003904
ZHBG,2021-08-04,0.144,39151614,195660287
