A4L,2021-07-19,17.4,6305759,17999999
ZLP,2021-08-04,1.35,481434,6493577
A4L,2021-07-23,17.6,6305759,17999999
ALB,2021-07-23,33.6,1278803,4273126
ALCM,2021-07-23,9.2,1776504,17952959
ATER,2021-07-23,2.5,52483840,85110091
BREF,2021-07-23,2.14,25764018,34641925
CCB,2021-07-23,0.995,21181101,127129970
CHIM,2021-07-23,0.846,53080895,239646267
DUH,2021-07-23,7.18,12416398,18736099
EAC,2021-07-23,1.06,26308349,36629925
ELHM,2021-07-23,0.835,6618810,25108410
EMKA,2021-07-23,3.26,4898869,21699726
EUBG,2021-07-23,2.58,61642408,260500000
FIB,2021-07-23,1.78,16500000,149084800
FZLS,2021-07-23,21,213250,515000
GAMZ,2021-07-23,3.8,3055713,5347798
GR6,2021-07-23,1.47,43788135,243608710
HCEN,2021-07-23,33,438192,735910
HES,2021-07-23,5.65,3673622,18193752
HIKA,2021-07-23,2.96,8981736,15864544
HNVK,2021-07-23,18.4,1808162,5610437
HRZ,2021-07-23,2.66,22698400,56010597
HSI,2021-07-23,2.6,16532960,36852997
HSOF,2021-07-23,3.6,6666906,9940391
HVAR,2021-07-23,40.2,1982101,6485897
IDH,2021-07-23,2.34,3742342,9980925
IHB,2021-07-23,1.28,29025755,107400643
KBG,2021-07-23,8.25,2350691,13168614
LAV,2021-07-23,3.8,1211957,9919410
MONB,2021-07-23,6,6788804,39000000
MSH,2021-07-23,7.5,9071209,39445200
NEOH,2021-07-23,25.6,629151,2654358
ODES,2021-07-23,115,113619,586642
PET,2021-07-23,0.23,2438860,27312403
SFA,2021-07-23,3.48,46695735,134797899
SFT,2021-07-23,5.1,8113764,34276050
SGH,2021-07-23,0.5,31431825,59360518
SKEH,2021-07-23,22.4,843144,2309561
SNRG,2021-07-23,0.645,7915991,18358849
SPH,2021-07-23,7.1,12372374,21000000
T57,2021-07-23,3.74,5745245,24200000
TBS,2021-07-23,13.5,2403856,12500000
TOPL,2021-07-23,2.2,512539,5416829
TXIM,2021-07-23,3,11136790,27995036
YGAG,2021-07-23,5,203739,1003904
ZHBG,2021-07-23,0.137,39151614,195660287
ZLP,2021-07-23,2.46,481434,6493577
A4L,2021-07-26,17.9,6305759,17999999
ALB,2021-07-26,34,1278803,4273126
ALCM,2021-07-26,9.2,1776504,17952959
ATER,2021-07-26,2.55,52483840,85110091
BREF,2021-07-26,2.2,25764018,34641925
CCB,2021-07-26,0.995,21181101,127129970
CHIM,2021-07-26,0.85,53080895,239646267
DUH,2021-07-26,6.78,12416398,18736099
EAC,2021-07-26,1.06,26308349,36629925
ELHM,2021-07-26,0.83,6618810,25108410
EMKA,2021-07-26,3.4,4898869,21699726
EUBG,2021-07-26,2.6,61642408,260500000
FIB,2021-07-26,1.71,16500000,149084800
FZLS,2021-07-26,19,213250,515000
GAMZ,2021-07-26,3.8,3093828,5347798
GR6,2021-07-26,1.47,43788135,243608710
HCEN,2021-07-26,33,438192,735910
HES,2021-07-26,5.8,3673622,18193752
HIKA,2021-07-26,2.94,8981736,15864544
HNVK,2021-07-26,18.4,1808162,5610437
HRZ,2021-07-26,2.66,22698400,56010597
HSI,2021-07-26,2.6,16532960,36852997
HSOF,2021-07-26,3.6,6666906,9940391
HVAR,2021-07-26,40,1971928,6485897
IDH,2021-07-26,2.36,3742342,9980925
IHB,2021-07-26,1.35,29025755,107400643
KBG,2021-07-26,8.25,2350691,13168614
LAV,2021-07-26,3.8,1211957,9919410
MONB,2021-07-26,6.05,6788804,39000000
MSH,2021-07-26,7.6,9071209,39445200
NEOH,2021-07-26,26.2,629151,2654358
ODES,2021-07-26,110,113619,586642
PET,2021-07-26,0.23,2438860,27312403
SFA,2021-07-26,3.48,46695735,134797899
SFT,2021-07-26,5.1,8113764,34276050
SGH,2021-07-26,0.5,31431825,59360518
SKEH,2021-07-26,22.4,843144,2309561
SNRG,2021-07-26,0.645,7915991,18358849
SPH,2021-07-26,7.1,12372374,21000000
T57,2021-07-26,3.58,5745245,24200000
TBS,2021-07-26,13.7,2403856,12500000
TOPL,2021-07-26,2.2,512539,5416829
TXIM,2021-07-26,3,11136790,27995036
YGAG,2021-07-26,5,203739,1003904
ZHBG,2021-07-26,0.137,39151614,195660287
ZLP,2021-07-26,2.46,481434,6493577
A4L,2021-07-27,17.5,6305759,17999999
ALB,2021-07-27,34,1278803,4273126
ALCM,2021-07-27,9.5,1776504,17952959
ATER,2021-07-27,2.55,52483840,85110091
BREF,2021-07-27,2.22,25764018,34641925
CCB,2021-07-27,1,21181101,127129970
CHIM,2021-07-27,0.844,53080895,239646267
DUH,2021-07-27,6.66,12416398,18736099
EAC,2021-07-27,1.07,26308349,36629925
ELHM,2021-07-27,0.77,6618810,25108410
EMKA,2021-07-27,3.5,4898869,21699726
EUBG,2021-07-27,2.5,61642408,260500000
FIB,2021-07-27,1.675,16500000,149084800
FZLS,2021-07-27,18.6,213250,515000
GAMZ,2021-07-27,3.8,3093828,5347798
GR6,2021-07-27,1.47,43788135,243608710
HCEN,2021-07-27,33,438192,735910
HES,2021-07-27,5.8,3673622,18193752
HIKA,2021-07-27,2.94,8981736,15864544
HNVK,2021-07-27,18.4,1808162,5610437
HRZ,2021-07-27,2.66,22698400,56010597
HSI,2021-07-27,2.6,16532960,36852997
HSOF,2021-07-27,3.6,6666906,9940391
HVAR,2021-07-27,40,1971928,6485897
IDH,2021-07-27,2.36,3742342,9980925
IHB,2021-07-27,1.42,29025755,107400643
KBG,2021-07-27,8.2,2350691,13168614
LAV,2021-07-27,3.8,1211957,9919410
MONB,2021-07-27,6,6788804,39000000
MSH,2021-07-27,7.6,9071209,39445200
NEOH,2021-07-27,25.4,629151,2654358
ODES,2021-07-27,105,113619,586642
PET,2021-07-27,0.23,2438860,27312403
SFA,2021-07-27,3.52,46695735,134797899
SFT,2021-07-27,5.1,8113764,34276050
SGH,2021-07-27,0.498,31431825,59360518
SKEH,2021-07-27,22.4,843144,2309561
SNRG,2021-07-27,0.645,7915991,18358849
SPH,2021-07-27,7.3,12372374,21000000
T57,2021-07-27,3.48,5745245,24200000
TBS,2021-07-27,13.5,2402166,12500000
TOPL,2021-07-27,2.1,512539,5416829
TXIM,2021-07-27,3,11136790,27995036
YGAG,2021-07-27,5,203739,1003904
ZHBG,2021-07-27,0.136,39151614,195660287
ZLP,2021-07-27,2.46,481434,6493577
A4L,2021-07-28,18.1,6305759,17999999
ALB,2021-07-28,34.4,1278803,4273126
ALCM,2021-07-28,9.5,1776504,17952959
ATER,2021-07-28,2.59,52482252,85110091
BREF,2021-07-28,2.28,25764018,34641925
CCB,2021-07-28,1,21181101,127129970
CHIM,2021-07-28,0.854,53080895,239646267
DUH,2021-07-28,6.7,12417085,18736099
EAC,2021-07-28,1.08,26308349,36629925
ELHM,2021-07-28,0.77,6618810,25108410
EMKA,2021-07-28,3.66,4898869,21699726
EUBG,2021-07-28,2.6,61642408,260500000
FIB,2021-07-28,1.71,16500000,149084800
FZLS,2021-07-28,18,213250,515000
GAMZ,2021-07-28,3.8,3099451,5347798
GR6,2021-07-28,1.47,43788135,243608710
HCEN,2021-07-28,33,438192,735910
HES,2021-07-28,5.8,3673622,18193752
HIKA,2021-07-28,3,8981736,15864544
HNVK,2021-07-28,18.4,1808162,5610437
HRZ,2021-07-28,2.66,22698400,56010597
HSI,2021-07-28,2.6,16532960,36852997
HSOF,2021-07-28,3.44,6666906,9940391
HVAR,2021-07-28,40.2,1972028,6485897
IDH,2021-07-28,2.36,4050819,9980925
IHB,2021-07-28,1.51,29025755,107400643
KBG,2021-07-28,8.25,2350691,13168614
LAV,2021-07-28,3.8,1211967,9919410
MONB,2021-07-28,6,6788804,39000000
MSH,2021-07-28,7.5,9071209,39445200
NEOH,2021-07-28,26.4,629151,2654358
ODES,2021-07-28,105,113619,586642
PET,2021-07-28,0.23,2438860,27312403
SFA,2021-07-28,3.52,46695735,134797899
SFT,2021-07-28,5.15,8113764,34276050
SGH,2021-07-28,0.486,31431825,59360518
SKEH,2021-07-28,22.4,843144,2309561
SNRG,2021-07-28,0.645,7915991,18358849
SPH,2021-07-28,7.3,12372374,21000000
T57,2021-07-28,3.46,5745245,24200000
TBS,2021-07-28,13.5,2402166,12500000
TOPL,2021-07-28,2.1,512539,5416829
TXIM,2021-07-28,3,11136790,27995036
YGAG,2021-07-28,5,203739,1003904
ZHBG,2021-07-28,0.136,39151614,195660287
ZLP,2021-07-28,2.46,481434,6493577
A4L,2021-07-29,17.9,6305759,17999999
ALB,2021-07-29,34.4,1278803,4273126
ALCM,2021-07-29,9.6,1776504,17952959
ATER,2021-07-29,2.58,52483840,85110091
BREF,2021-07-29,2.3,25764018,34641925
CCB,2021-07-29,1.04,21181101,127129970
CHIM,2021-07-29,0.862,53080895,239646267
DUH,2021-07-29,6.9,12417085,18736099
EAC,2021-07-29,1.07,26308349,36629925
ELHM,2021-07-29,0.85,6618810,25108410
EMKA,2021-07-29,3.58,4898869,21699726
EUBG,2021-07-29,2.54,85228209,260500000
FIB,2021-07-29,1.7,16500000,149084800
FZLS,2021-07-29,19.4,213250,515000
GAMZ,2021-07-29,3.8,3099451,5347798
GR6,2021-07-29,1.46,43788135,243608710
HCEN,2021-07-29,33.8,438192,735910
HES,2021-07-29,5.8,3673622,18193752
HIKA,2021-07-29,3,8981736,15864544
HNVK,2021-07-29,18.4,1808162,5610437
HRZ,2021-07-29,2.66,22698400,56010597
HSI,2021-07-29,2.6,16532960,36852997
HSOF,2021-07-29,3.44,6666906,9940391
HVAR,2021-07-29,40.2,1972028,6485897
IDH,2021-07-29,2.36,3415242,9980925
IHB,2021-07-29,1.7,29025755,107400643
KBG,2021-07-29,8.3,2350691,13168614
LAV,2021-07-29,3.8,1211967,9919410
MONB,2021-07-29,6.15,6788804,39000000
MSH,2021-07-29,7.65,9071209,39445200
NEOH,2021-07-29,27,629151,2654358
ODES,2021-07-29,103,113619,586642
PET,2021-07-29,0.23,2438860,27312403
SFA,2021-07-29,3.48,46695735,134797899
SFT,2021-07-29,5.15,8113764,34276050
SGH,2021-07-29,0.51,31431825,59360518
SKEH,2021-07-29,22.4,843144,2309561
SNRG,2021-07-29,0.645,7915991,18358849
SPH,2021-07-29,7.3,12372374,21000000
T57,2021-07-29,3.6,5745245,24200000
TBS,2021-07-29,13.5,2402166,12500000
TOPL,2021-07-29,2.1,512539,5416829
TXIM,2021-07-29,3,11136790,27995036
YGAG,2021-07-29,5,203739,1003904
ZHBG,2021-07-29,0.136,39151614,195660287
ZLP,2021-07-29,2.46,481434,6493577
A4L,2021-07-30,17.7,6305759,17999999
ALB,2021-07-30,35,1278803,4273126
ALCM,2021-07-30,9.25,1776504,17952959
ATER,2021-07-30,2.64,52483840,85110091
BREF,2021-07-30,2.3,25764018,34641925
CCB,2021-07-30,1.05,21181101,127129970
CHIM,2021-07-30,0.868,53080895,239646267
DUH,2021-07-30,6.76,12418285,18736099
EAC,2021-07-30,1.08,26308349,36629925
ELHM,2021-07-30,0.79,6618810,25108410
EMKA,2021-07-30,3.6,4898869,21699726
EUBG,2021-07-30,2.5,85228209,260500000
FIB,2021-07-30,1.7,16500000,149084800
FZLS,2021-07-30,19.2,213250,515000
GAMZ,2021-07-30,3.8,3099451,5347798
GR6,2021-07-30,1.46,43788135,243608710
HCEN,2021-07-30,34.2,438192,735910
HES,2021-07-30,5.85,3673622,18193752
HIKA,2021-07-30,3.02,8981736,15864544
HNVK,2021-07-30,18.4,1808162,5610437
HRZ,2021-07-30,2.66,22698400,56010597
HSI,2021-07-30,2.6,16532960,36852997
HSOF,2021-07-30,3.44,6666906,9940391
HVAR,2021-07-30,40,1972028,6485897
IDH,2021-07-30,2.36,3415242,9980925
IHB,2021-07-30,1.61,29025755,107400643
KBG,2021-07-30,8.3,2350691,13168614
LAV,2021-07-30,3.8,1211967,9919410
MONB,2021-07-30,6.1,6788804,39000000
MSH,2021-07-30,7.65,9071209,39445200
NEOH,2021-07-30,27.2,629151,2654358
ODES,2021-07-30,103,113619,586642
PET,2021-07-30,0.23,2438860,27312403
SFA,2021-07-30,3.48,46695735,134797899
SFT,2021-07-30,5.15,8113764,34276050
SGH,2021-07-30,0.51,31431825,59360518
SKEH,2021-07-30,22.4,843144,2309561
SNRG,2021-07-30,0.75,7915991,18358849
SPH,2021-07-30,7.4,12372374,21000000
T57,2021-07-30,3.6,5745245,24200000
TBS,2021-07-30,13.6,2402166,12500000
TOPL,2021-07-30,2.1,512539,5416829
TXIM,2021-07-30,3,11136790,27995036
YGAG,2021-07-30,5,203739,1003904
ZHBG,2021-07-30,0.136,39151614,195660287
ZLP,2021-07-30,2.46,481434,6493577
A4L,2021-08-05,17.2,6305759,17999999
ALB,2021-08-05,34.2,1278803,4273126
ALCM,2021-08-05,8.75,1776504,17952959
ATER,2021-08-05,2.67,52483840,85110091
BREF,2021-08-05,2.37,25764018,34641925
CCB,2021-08-05,1.09,21181101,127129970
CHIM,2021-08-05,0.958,53080895,239646267
DUH,2021-08-05,7.02,12418785,18736099
EAC,2021-08-05,1.08,26308349,36629925
ELHM,2021-08-05,0.825,6618810,25108410
EMKA,2021-08-05,3.5,4898869,21699726
EUBG,2021-08-05,2.56,85236209,260500000
FIB,2021-08-05,1.79,16500000,149084800
FZLS,2021-08-05,19,213250,515000
GAMZ,2021-08-05,3.8,3099451,5347798
GR6,2021-08-05,1.47,43788135,243608710
HCEN,2021-08-05,34.2,438192,735910
HES,2021-08-05,5.75,3673622,18193752
HIKA,2021-08-05,2.9,8981736,15864544
HNVK,2021-08-05,18.4,1808162,5610437
HRZ,2021-08-05,2.66,22698400,56010597
HSI,2021-08-05,2.6,16532960,36852997
HSOF,2021-08-05,3.44,6666906,9940391
HVAR,2021-08-05,40.2,1973028,6485897
IDH,2021-08-05,2.36,3407242,9980925
IHB,2021-08-05,1.56,29025755,107400643
KBG,2021-08-05,8.4,2350691,13168614
LAV,2021-08-05,3.8,1211967,9919410
MONB,2021-08-05,6.1,6788804,39000000
MSH,2021-08-05,7.35,9071209,39445200
NEOH,2021-08-05,28,629151,2654358
ODES,2021-08-05,106,113619,586642
PET,2021-08-05,0.102,2438860,27312403
SFA,2021-08-05,3.5,46695735,134797899
SFT,2021-08-05,5.2,8113764,34276050
SGH,2021-08-05,0.51,31431825,59360518
SKEH,2021-08-05,22.4,841444,2309561
SNRG,2021-08-05,0.75,7915991,18358849
SPH,2021-08-05,7.05,12372374,21000000
T57,2021-08-05,3.46,5745245,24200000
TBS,2021-08-05,13.5,2402166,12500000
TOPL,2021-08-05,2.1,512539,5416829
TXIM,2021-08-05,3,11136790,27995036
YGAG,2021-08-05,6.05,203739,1003904
ZHBG,2021-08-05,0.155,39151614,195660287
ZLP,2021-08-05,1.35,481434,6493577
